Cathegorie,Product ID,Product Name,Product Type,Additional service ,Regions,Where,Video/Photos,duration,Number of peoples,Unit price ,Sales,Views,Quantity,Sales Last Year,Views Last Year,Quantity Last Year,Grow sales
Fighter aircraft,1409993,Vol spectaculaire de 45 minutes en L-39 Albatros en Floride,Vol spectaculaire,,Offre en dehors France,Floride,,45,,"3 373,90", €  -   ,  101 ,  -   , €  -   ,  108 ,  -   ,"0,00%"
Fighter aircraft,1409992,Vol spectaculaire de 60 minutes dans un Albatros L-39 en Floride,Vol spectaculaire,,Offre en dehors France,Floride,,60,,"3 795,90", €  -   ,  138 ,  -   , €  -   ,  103 ,  -   ,"0,00%"
Fighter aircraft,1409986,Vol spectaculaire dans un avion de chasse Jet Provost en Italie,Vol spectaculaire,,Offre en dehors France,Italie,,,,"2 509,90", €  -   ,  82 ,  -   , €  -   ,  143 ,  -   ,"0,00%"
Fighter aircraft,1410001,Pilote d'un jour à Riga : vol de 25 min dans un avion de chasse militaire L-39 Albatros,Pilote d'un jour,,Offre en dehors France,Lituanie - Riga,,25,,"2 007,90", €  -   ,  1 409 ,  -   , €  -   ,  1 047 ,  -   ,"0,00%"
Fighter aircraft,1409999,Pilote d'un jour à Riga : vol de 35 min dans un avion de chasse militaire L-39 Albatros,Pilote d'un jour,,Offre en dehors France,Lituanie - Riga,,35,,"2 861,90", €  -   ,  202 ,  -   , €  -   ,  296 ,  -   ,"0,00%"
Fighter aircraft,1410000,20-minütiger Flug mit einem L-39 Albatros-Kampfjet in Tschechien | Vol de 20 minutes dans un avion de chasse L-39 Albatros en République tchèque,Vol de (durée),PASSER LES TEXTES FRANCAIS,Offre en dehors France,République tchèque,,20,,"2 007,90", €  -   ,  130 ,  -   , €  -   ,  383 ,  -   ,"0,00%"
Fighter aircraft,1409994,Onvergetelijke vlucht in een L-39 Albatros in Tsjechië | Vol inoubliable en L-39 Albatros en République Tchèque,Vol inoubliable ,PASSER LES TEXTES FRANCAIS,Offre en dehors France,République Tchèque,,,,"2 961,90", €  -   ,  125 ,  -   , €  -   ,  167 ,  -   ,"0,00%"
Fighter aircraft,1409997,Pilote d’1 jour en République tchèque : vol de 20 minutes en avion de chasse MIG-15,Pilote d'un jour,OPTIMISATION CONTENUE,Offre en dehors France,République tchèque,,20,,"3 010,90", €  -   ,  127 ,  -   , €  -   ,  159 ,  -   ,"0,00%"
Fighter aircraft,1409995,Droomvlucht in een L-29 Delfín in Slowakije | Vol de rêve en L-29 Delfin en Slovaquie,Vol de rêve,,Offre en dehors France,Slovaquie,,,,"2 007,90", €  -   ,  79 ,  -   , €  -   ,  156 ,  -   ,"0,00%"
Fighter aircraft,1409985,Exclusieve vlucht boven de Zwitserse Alpen in een Hawker Hunter | Vol exclusif au-dessus des Alpes suisses dans un Hawker Hunter,Vol exclusif ,,Offre en dehors France,Suisse - Alpes suisses,,,,"7 531,90", €  -   ,  646 ,  -   , €  -   ,  433 ,  -   ,"0,00%"
